Human User,Create Date,Password Chaged Date,Days since last password change,Last Access Date,Days since Last Access,MFA Enabled
Foo Bar1,Oct 1 2020,Oct 1 2021,1325,Jan 4 2025,134,Yes
Foo1 Bar1,Sep 20 2019,Sep 22 2019,2064,Feb 8 2025,99,No
Foo2 Bar2,Feb 3 2022,Feb 3 2022,1200,Feb 12 2025,95,No
Foo3 Bar3,Mar 7 2023,Mar 10 2023,801,Jan 3 2022,1232,Yes
Foo Bar4,Apr 8 2018,Apr 12 2020,1862,Oct 4 2022,956,No
Hello hi2,May 15 2025,May 18 2025,4,May 19 2025,1,Yes
Foo4 Bar2,Oct 1 2024,Oct 1 2024,1325,Jan 4 2025,134,Yes
Foo5 Bar6,Sep 20 2024,Sep 22 2024,20,Feb 8 2025,99,No
Foo1 Bar7,Feb 3 2023,Feb 3 2024,1200,Feb 12 2025,95,No
Foo2 Bar7,Mar 7 2024,Mar 10 2024,801,Apr 3 2024,1232,Yes
Foo3 Bar5,Apr 8 2019,Apr 12 2020,1862,Oct 4 2022,956,No
Alice Smith,Jan 10 2021,Mar 15 2022,796,May 18 2025,2,Yes
Bob Jones,Nov 5 2018,Dec 1 2020,1631,May 19 2025,1,No
Carol White,Jul 23 2023,Aug 10 2023,284,May 17 2025,3,Yes
David Black,Feb 28 2020,Feb 28 2020,1543,May 10 2025,10,No
Eve Green,May 2 2022,Jan 1 2023,505,May 20 2025,0,Yes
Frank Blue,Oct 12 2019,Oct 13 2021,951,May 1 2025,19,No
Grace Red,Mar 14 2024,Mar 20 2024,426,May 19 2025,1,Yes
Henry Gold,Sep 8 2022,Oct 1 2022,597,Apr 30 2025,20,No
Ivy Silver,Jun 30 2020,Jul 1 2020,1784,May 16 2025,4,Yes
Jack Bronze,Dec 11 2023,Dec 15 2023,156,May 15 2025,5,No
Foo2 Foo1,May 24 2025,May 24 2025,12,May 24 2025,12,Yes
Foo2 Foo1,May 23 2025,May 23 2025,12,May 23 2025,12,Yes
